initial	commonVariationMotif	commonVariationMotifOnly	anchor	solved	unsolved	pmWalk	exceedsMaxReadFamilies	noReadFamilies
RGSL37_14_10106	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_101506	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_102524	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	2	TRUE	FALSE
RGSL37_14_102714	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	4	FALSE	FALSE
RGSL37_14_10273	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	4	FALSE	FALSE
RGSL37_14_102873	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_102907	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_103069	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_103903	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_104039	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_104076	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_104302	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_104412	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_104768	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_104915	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_104994	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105281	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105317	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105380	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105532	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105630	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105729	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105772	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_105840	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_106005	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_106104	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL37_14_106178	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_106296	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_106802	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_106873	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_107061	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_107346	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_107445	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	3	FALSE	FALSE
RGSL37_14_107581	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	3	FALSE	FALSE
RGSL37_14_107684	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL37_14_107732	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_107853	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_108149	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_108313	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_108406	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_108443	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	3	FALSE	FALSE
RGSL37_14_10856	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_108589	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_108680	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_108949	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_109034	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_109384	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_109414	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_109534	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	2	FALSE	FALSE
RGSL37_14_109627	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_109807	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_109882	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_109915	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_110233	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_110466	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_110557	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_110629	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_110766	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_110868	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL37_14_110962	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
